SectorEU,URIEU,Sector,URI
Science and technology,http://euskadi.eus/kos/public-sector/sector/science-technology,Ciencia y tecnología,http://datos.gob.es/kos/sector-publico/sector/ciencia-tecnologia
Commerce,http://euskadi.eus/kos/public-sector/sector/commerce,Comercio,http://datos.gob.es/kos/sector-publico/sector/comercio
Culture and leisure,http://euskadi.eus/kos/public-sector/sector/culture-leisure,Cultura y ocio,http://datos.gob.es/kos/sector-publico/sector/cultura-ocio
Demography,http://euskadi.eus/kos/public-sector/sector/demography,Demografía,http://datos.gob.es/kos/sector-publico/sector/demografia
Sports,http://euskadi.eus/kos/public-sector/sector/sports,Deporte,http://datos.gob.es/kos/sector-publico/sector/deporte
Economy,http://euskadi.eus/kos/public-sector/sector/economy,Economía,http://datos.gob.es/kos/sector-publico/sector/economia
Education,http://euskadi.eus/kos/public-sector/sector/education,Educación,http://datos.gob.es/kos/sector-publico/sector/educacion
Employment,http://euskadi.eus/kos/public-sector/sector/employment,Empleo,http://datos.gob.es/kos/sector-publico/sector/empleo
Energy,http://euskadi.eus/kos/public-sector/sector/energy,Energía,http://datos.gob.es/kos/sector-publico/sector/energia
Treasury Department,http://euskadi.eus/kos/public-sector/sector/treasury-department,Hacienda,http://datos.gob.es/kos/sector-publico/sector/hacienda
Industry,http://euskadi.eus/kos/public-sector/sector/industry,Industria,http://datos.gob.es/kos/sector-publico/sector/industria
Legislation and justice,http://euskadi.eus/kos/public-sector/sector/legislation-justice,Legislación y justicia,http://datos.gob.es/kos/sector-publico/sector/legislacion-justicia
Environment,http://euskadi.eus/kos/public-sector/sector/environment,Medio ambiente,http://datos.gob.es/kos/sector-publico/sector/medio-ambiente
Rural environment,http://euskadi.eus/kos/public-sector/sector/rural-environment,Medio Rural,http://datos.gob.es/kos/sector-publico/sector/medio-rural-pesca
Health,http://euskadi.eus/kos/public-sector/sector/health,Salud,http://datos.gob.es/kos/sector-publico/sector/salud
Public sector,http://euskadi.eus/kos/public-sector/sector/public-sector,Sector público,http://datos.gob.es/kos/sector-publico/sector/sector-publico
Security,http://euskadi.eus/kos/public-sector/sector/security,Seguridad,http://datos.gob.es/kos/sector-publico/sector/seguridad
Society and welfare,http://euskadi.eus/kos/public-sector/sector/society-welfare,Sociedad y bienestar,http://datos.gob.es/kos/sector-publico/sector/sociedad-bienestar
Transport,http://euskadi.eus/kos/public-sector/sector/transport,Transporte,http://datos.gob.es/kos/sector-publico/sector/transporte
Tourism,http://euskadi.eus/kos/public-sector/sector/tourism,Turismo,http://datos.gob.es/kos/sector-publico/sector/turismo
Urbanism and infrastructures,http://euskadi.eus/kos/public-sector/sector/urbanism-infrastructure,Urbanismo e infraestructuras,http://datos.gob.es/kos/sector-publico/sector/urbanismo-infraestructuras
Housing,http://euskadi.eus/kos/public-sector/sector/Housing,Vivienda,http://datos.gob.es/kos/sector-publico/sector/vivienda